Step_ID,Phase,Task_Description,LLM_Prompt
1,Data_Simulation,Setup Python environment and imports,"Create a Python script that imports all necessary libraries for data generation. Include pandas, numpy, datetime, random, and csv. Set up the basic structure for generating synthetic POS data for a beer company analysis."
2,Data_Simulation,Define product catalog schema,"Generate a comprehensive product catalog with the following schema: Brand (20+ realistic beer and hard seltzer brands), Category (Beer vs Hard Seltzer), SKU (unique identifiers), ABV (alcohol by volume - realistic ranges). Create at least 50 beer products and 30 hard seltzer products with realistic brand names and ABV values."
3,Data_Simulation,Create geography and retailer data,"Generate realistic geography and retailer data including: Retailer_ID (1000+ unique retailers), Warehouse_ID (50+ warehouses), Region (Northeast, Southeast, Midwest, West, Southwest), State (all 50 US states), City names. Ensure proper geographic distribution and logical warehouse-to-region mapping."
4,Data_Simulation,Design time series framework,"Create a time series framework spanning 36 months (3 years) with daily granularity. Include seasonality patterns for alcohol sales (higher in summer, holidays). Set up the foundation for showing beer sales plateauing while hard seltzer sales spike dramatically in the last 18 months."
5,Data_Simulation,Implement sales trend logic,"Write the core algorithm that generates sales data with these specific trends: Beer category starts strong but plateaus after month 18, Hard Seltzer category starts low but shows exponential growth from month 12 onwards, creating a clear 'pivot point' around month 20-24 where seltzers overtake beer growth rates."
6,Data_Simulation,Generate TDP and distribution data,"Create Total Distribution Points (TDP) data that reflects realistic retail distribution. Beer products should have high initial TDP that remains stable, while Hard Seltzer TDP should grow rapidly, indicating expanding retail presence. Include logic for new product launches and discontinuations."
7,Data_Simulation,Create sales metrics with realistic variance,"Generate Units_Sold and Total_Dollars columns with realistic variance, seasonality, and noise. Include weekend/weekday patterns, regional preferences, and ensure the mathematical relationship between units and dollars is consistent with realistic pricing ($8-15 for beer, $10-18 for seltzers)."
8,Data_Simulation,Export synthetic dataset,"Complete the data generation script by exporting three CSV files: products.csv (product catalog), locations.csv (geography/retailer data), and sales_transactions.csv (daily POS data). Ensure data quality and referential integrity between the files."
9,Environment_Setup,Install and configure PySpark,"Provide step-by-step instructions to install PySpark locally, including Java dependencies, environment variables, and verification commands. Include code to test the installation with a simple 'Hello World' Spark application."
10,Environment_Setup,Initialize Spark session with optimal configuration,"Create a PySpark script that initializes a SparkSession with appropriate configuration for local development. Include memory settings, SQL extensions, and other optimizations for processing the synthetic POS data efficiently."
11,Data_Ingestion,Define schemas for data ingestion,"Write PySpark code to define explicit schemas for all three CSV files (products, locations, sales_transactions). Use appropriate data types (StringType, IntegerType, DoubleType, TimestampType) and ensure schema matches the generated synthetic data."
12,Data_Ingestion,Ingest CSV files into Spark DataFrames,"Create PySpark code to read the three CSV files into DataFrames using the predefined schemas. Include error handling, data validation, and basic data quality checks (row counts, null checks, data type verification)."
13,Data_Ingestion,Perform initial data exploration,"Write PySpark code to explore the ingested data: show schema, display sample rows, calculate basic statistics, identify any data quality issues. Create summary statistics for each DataFrame and verify the data matches expected patterns."
14,ETL_Transformation,Clean and validate data quality,"Implement comprehensive data cleaning in PySpark: handle null values, remove duplicates, validate referential integrity between tables, standardize text fields, and filter out any anomalous records. Document all cleaning decisions and their business rationale."
15,ETL_Transformation,Join datasets into unified fact table,"Create PySpark code to join the three DataFrames (products, locations, sales_transactions) into a single comprehensive fact table. Use appropriate join types, handle potential data skew, and ensure all necessary dimensions are preserved for analysis."
16,ETL_Transformation,Engineer analytical features,"Implement feature engineering in PySpark: calculate Sales_per_TDP (velocity metric), create time-based features (month, quarter, year), calculate rolling averages, growth rates, and market share metrics. These features should highlight the beer-to-seltzer trend."
17,ETL_Transformation,Create time-based aggregations,"Write PySpark code to create monthly and quarterly aggregations by Category, Region, and Brand. Calculate total sales, units sold, average price, and TDP coverage. These aggregations will be the foundation for trend analysis and anomaly detection."
18,Analysis,Identify category performance trends,"Develop PySpark analysis code to calculate month-over-month and year-over-year growth rates for Beer vs Hard Seltzer categories. Create metrics that clearly show the diverging trends and identify the specific time period where the pivot occurs."
19,Analysis,Detect the market anomaly timeframe,"Write PySpark code to pinpoint the exact timeframe where Hard Seltzer growth rate exceeds Beer growth rate. Calculate statistical significance of this trend change and identify contributing factors (geographic regions, specific brands, seasonal patterns)."
20,Analysis,Perform regional and brand-level analysis,"Create detailed PySpark analysis breaking down the beer-to-seltzer trend by region and individual brands. Identify which geographic markets led the seltzer adoption and which beer brands were most affected by the category shift."
21,Analysis,Calculate market share evolution,"Implement PySpark code to track market share evolution over time. Show how Hard Seltzer market share grows from near-zero to significant percentage, while Beer share declines. Create visualizable data showing the competitive dynamics."
22,Reporting,Generate executive summary metrics,"Create PySpark code to generate key business metrics for executive reporting: total revenue impact, market share shifts, growth rate comparisons, and ROI projections for entering the Hard Seltzer market. Format results for business consumption."
23,Reporting,Create pivot recommendation dataset,"Write PySpark code to generate a final recommendation dataset that includes: optimal timing for market entry, recommended product portfolio, target geographic markets, and projected financial impact of pivoting into Hard Seltzers."
24,Visualization,Export data for visualization,"Create PySpark code to export processed data in formats suitable for visualization tools. Generate CSV files with time series data, category comparisons, and regional breakdowns that can be easily imported into Matplotlib, Plotly, or business intelligence tools."
25,Visualization,Create trend visualization code,"Write Python code (using Matplotlib or Plotly) to create compelling visualizations: time series showing beer vs seltzer sales trends, market share evolution charts, regional heatmaps, and a clear 'pivot point' visualization that supports the business recommendation."
26,Pipeline_Integration,Create end-to-end pipeline script,"Combine all previous components into a single, executable PySpark pipeline script that runs the complete workflow: data ingestion → ETL → analysis → reporting → export. Include logging, error handling, and performance monitoring."
27,Pipeline_Integration,Add pipeline orchestration and scheduling,"Enhance the pipeline with orchestration capabilities: parameterize inputs, add configuration management, implement checkpointing for fault tolerance, and create a scheduling framework that could run this analysis regularly with new data."
28,Documentation,Create technical documentation,"Generate comprehensive technical documentation covering: data schema definitions, transformation logic, business rules, analytical methodology, and instructions for running the pipeline. Include data lineage and impact analysis."
29,Documentation,Prepare business presentation materials,"Create a business-focused summary of findings: executive dashboard mockups, key insights, market opportunity sizing, competitive analysis, and clear recommendations for the beer company's strategic pivot into Hard Seltzers."
30,Validation,Implement data quality testing,"Write PySpark code to implement comprehensive data quality tests: schema validation, referential integrity checks, business rule validation, and anomaly detection in the pipeline results. Ensure the analysis conclusions are statistically sound and business-relevant."
